func,call,tick
c2s_ghttp,3,2286918
CGameCreature::RemoveUnderling,311,154717
CGameCreature::OnTeleport,3,1203
c2s_sys_event,12,6991788
CGameCreature::OnLeaveWorld,1021,16110371
CGameCreature::OnLeaveScene,1027,165239
CGameCreature::ClearUnderling,1021,158213
c2s_event,395,16934725
CItemContainer::OnTimer,1732,2732070
CGameCreature::OnTimer,3838,5726457
"User.Tick",8571,2731293
c2s_select_char,1,6911
c2s_relogin,1,40913
CGameCreature::OnShowAttribChanged,349,550331
CGameCreature::ClearEnemy,348,-15378
"FindPath",350966,3249314731
CGameCreature::OnActionEnd,352093,27382456
"SkCon.Tick.Eff",16556,232335400
"Npc.Tick",24086835,31561068965
"CreOp.Tick",24095406,2134796181
CGameCreature::OnActionBegin,351992,551717551
"Action.Tick",24095406,4434219119
"ObjAi.Tick",24095406,-1401238955
"SkCon.Tick",24095406,3526840954
Cre.Tick,24095406,29626468123
CGameWorld::CheckGridInfo,1597,2368443365
CGameWorld::TickActiveGrid,1597,74652493002
CNpcDropMgr::OnTimer,1616,91600
CGameSystemSyncSvr::OnUpdateUserData,1616,36660028
CGameWorld::Tick.TickUser,7988,41539957574
"GS.Business",7988,2112189
"GS.Chat",7988,1844562
CGameCreature::AddUnderling,342,17724
CGameCreature::OnRareShowAttribChanged,1030,1207067
CGameCreature::SetBoss,684,7575954
CGameCreature::OnPostEnterWorld,1022,13456450
CGameCreature::OnEnterScene,1028,650410
CGameCreature::OnEnterWorld,1022,13755217
"Npc.Spawn",81894,1203439622
CGameWorld::Tick.Sys,7988,3201358425
CGameWorld::Tick,7988,44746718992
CGameServer::TickFrame1,7988,44757188044
CGameServer::TickFrame3,7986,559544719
"Server.Run.Sleep",1348013,3602462189055
CGameServer::Tick.Other,1348013,8601420531
CGameServer::Tick.Net,1348013,906756703
CGameWorld::Tick.DestroyObj,1348013,558753320
CGameWorld::TickNotifyGrid,7988,231618522
CGameServer::TickFrame2,7988,77262656915
CGameServer::Tick.TickFrame,1348013,123671722564
CGameServer::Tick.Base,1348013,115321044013
CGameServer::Tick,1348013,269740134851
"Server.Run",1,3878458310231
