[20210522 08:16:47 INFO root] Base initialized.
[20210522 08:16:47 INFO root] net device startup ok
[20210522 08:16:47 INFO root] 	FDSetSize       = 1024
[20210522 08:16:47 INFO root] 	Version         = 110
[20210522 08:16:47 INFO root] 	SendBufferSize  = 16384
[20210522 08:16:47 INFO root] 	RecvBufferSize  = 87380
[20210522 08:16:52 ERRO root] no sn 1.
[20210522 08:16:52 INFO root] Connected to the db server successfully.
[20210522 08:16:52 INFO root] Connected to the db server successfully.
[20210522 08:16:52 INFO root] Connected to the db server successfully.
[20210522 08:16:52 INFO root] Connected to the login server successfully.
[20210522 08:17:04 INFO root] Register SUCCEEDED
[20210522 08:17:04 INFO root] PK is ENABLED
[20210522 08:17:13 ERRO root] can not find drop class, ID=20400 npc=9904
[20210522 08:17:13 ERRO root] can not find drop class, ID=20401 npc=9904
[20210522 08:17:13 ERRO root] can not find drop class, ID=20402 npc=9904
[20210522 08:17:13 ERRO root] can not find drop class, ID=20403 npc=9904
[20210522 08:17:13 ERRO root] can not find drop class, ID=20404 npc=9904
[20210522 08:17:13 ERRO root] can not find drop class, ID=20405 npc=9904
[20210522 08:17:13 ERRO root] can not find drop class, ID=20406 npc=9904
[20210522 08:17:13 ERRO root] can not find drop class, ID=20400 npc=9905
[20210522 08:17:13 ERRO root] can not find drop class, ID=20401 npc=9905
[20210522 08:17:13 ERRO root] can not find drop class, ID=20402 npc=9905
[20210522 08:17:13 ERRO root] can not find drop class, ID=20403 npc=9905
[20210522 08:17:13 ERRO root] can not find drop class, ID=20404 npc=9905
[20210522 08:17:13 ERRO root] can not find drop class, ID=20405 npc=9905
[20210522 08:17:13 ERRO root] can not find drop class, ID=20406 npc=9905
[20210522 08:17:13 ERRO root] can not find drop class, ID=20407 npc=9906
[20210522 08:17:13 ERRO root] can not find drop class, ID=20408 npc=9906
[20210522 08:17:13 ERRO root] can not find drop class, ID=20409 npc=9906
[20210522 08:17:13 ERRO root] can not find drop class, ID=21223 npc=9906
[20210522 08:17:13 ERRO root] can not find drop class, ID=20090 npc=9906
[20210522 08:17:13 ERRO root] can not find drop class, ID=20091 npc=9906
[20210522 08:17:13 ERRO root] can not find drop class, ID=20092 npc=9906
[20210522 08:17:13 ERRO root] can not find drop class, ID=20407 npc=9907
[20210522 08:17:13 ERRO root] can not find drop class, ID=20408 npc=9907
[20210522 08:17:13 ERRO root] can not find drop class, ID=20409 npc=9907
[20210522 08:17:13 ERRO root] can not find drop class, ID=21223 npc=9907
[20210522 08:17:13 ERRO root] can not find drop class, ID=20090 npc=9907
[20210522 08:17:13 ERRO root] can not find drop class, ID=20091 npc=9907
[20210522 08:17:13 ERRO root] can not find drop class, ID=20092 npc=9907
[20210522 08:18:07 ERRO root] 操作数前面必须是运算符、括号或者空

Rate(0.09)SkillAddCd
          ^
[20210522 08:18:08 WARN root] NpcAreaLoadRegion local\common\table/main/ningbiya/npc.csv: Line=588, Type=Common, NpcID=0
[20210522 08:18:09 INFO root] CGameSystemAuction_Svr::Load: 0 Dealing Item Loaded
[20210522 08:18:09 INFO root] CGameSystemAuction_Svr::Load: 0 Dealed Item Loaded
[20210522 08:18:09 INFO root] [CGsGuildSvr::LoadFromDb] Guild Load Success, total = 0
[20210522 08:18:09 INFO root] [CGsGuildSvr::LoadFromDb] GuildTerr Load Success, total = 0
[20210522 08:18:10 INFO root] Connected to the db server successfully.
[20210522 08:18:10 INFO root] [CGsMurderSvr::LoadFromDb] Murder Load Success, total = 0
[20210522 08:18:13 INFO root] Auto Clear Tiredness @ 12:00:00
[20210522 08:18:13 INFO root] server init ok
[20210522 08:18:13 INFO root] ServerTick 1 = 26 [0] [0] [0] [26]
[20210522 08:18:14 ERRO root] Get Npc Rebirth Data Error, NpcId=[0], area=[], AreaId=[0]
[20210522 08:18:17 INFO root] ServerTick 90 = 3881 [0] [3881] [0] [0] (1)
[20210522 08:18:17 INFO root] ServerTick 93 = 29 [0] [29] [0] [0]
[20210522 08:18:18 INFO root] ServerTick 718 = 180 [0] [180] [0] [0] (2)
[20210522 08:18:18 INFO root] ServerTick 855 = 31 [0] [31] [0] [0]
[20210522 08:18:19 INFO root] ServerTick 1237 = 177 [0] [177] [0] [0] (2)
[20210522 08:18:20 INFO root] ServerTick 1813 = 197 [0] [197] [0] [0] (2)
[20210522 08:18:20 INFO root] ServerTick 1815 = 32 [0] [32] [0] [0]
[20210522 08:18:21 INFO root] ServerTick 2383 = 185 [0] [185] [0] [0] (2)
[20210522 08:18:22 INFO root] ServerTick 2634 = 81 [0] [81] [0] [0]
[20210522 08:18:22 INFO root] ServerTick 2773 = 197 [0] [197] [0] [0] (2)
[20210522 08:18:23 INFO root] ServerTick 3328 = 217 [0] [217] [0] [0] (2)
[20210522 08:18:24 INFO root] ServerTick 3844 = 185 [0] [185] [0] [0] (2)
[20210522 08:18:25 INFO root] ServerTick 4414 = 185 [0] [185] [0] [0] (2)
[20210522 08:18:26 ERRO root] [20210522 08:18:26 INFO root] ServerTick 4984 = 194 [0] [194] [0] [0] (2)
[20210522 08:18:27 INFO root] ServerTick 5572 = 194 [0] [194] [0] [0] (2)
[20210522 08:18:29 INFO root] ServerTick 6133 = 205 [0] [205] [0] [0] (2)
[20210522 08:18:30 INFO root] ServerTick 6535 = 203 [0] [203] [0] [0] (2)
[20210522 08:18:31 INFO root] ServerTick 7069 = 209 [0] [209] [0] [0] (2)
[20210522 08:18:32 INFO root] ServerTick 7570 = 170 [0] [170] [0] [0] (2)
[20210522 08:18:33 INFO root] ServerTick 8038 = 166 [0] [166] [0] [0] (2)
[20210522 08:18:34 INFO root] ServerTick 8557 = 161 [0] [161] [0] [0] (2)
[20210522 08:18:35 INFO root] ServerTick 9067 = 161 [1] [160] [0] [0] (2)
[20210522 08:18:36 INFO root] ServerTick 9610 = 181 [0] [181] [0] [0] (2)
[20210522 08:18:37 INFO root] ServerTick 10153 = 173 [0] [173] [0] [0] (2)
[20210522 08:18:38 INFO root] ServerTick 10735 = 194 [0] [194] [0] [0] (2)
[20210522 08:18:39 INFO root] ServerTick 11224 = 194 [0] [194] [0] [0] (2)
[20210522 08:18:40 INFO root] ServerTick 11758 = 197 [0] [197] [0] [0] (2)
[20210522 08:18:41 INFO root] ServerTick 12334 = 206 [0] [206] [0] [0] (2)
[20210522 08:18:42 INFO root] ServerTick 12865 = 177 [0] [177] [0] [0] (2)
[20210522 08:18:43 INFO root] ServerTick 13378 = 193 [0] [193] [0] [0] (2)
[20210522 08:18:44 INFO root] ServerTick 13882 = 197 [0] [197] [0] [0] (2)
[20210522 08:18:45 INFO root] ServerTick 14413 = 191 [0] [191] [0] [0] (2)
[20210522 08:18:46 INFO root] ServerTick 14944 = 174 [0] [174] [0] [0] (2)
[20210522 08:18:47 INFO root] ServerTick 15502 = 191 [0] [191] [0] [0] (2)
[20210522 08:18:48 INFO root] ServerTick 16012 = 226 [0] [226] [0] [0] (2)
[20210522 08:18:50 INFO root] ServerTick 16537 = 175 [0] [175] [0] [0] (2)
[20210522 08:18:51 INFO root] ServerTick 17125 = 188 [0] [188] [0] [0] (2)
[20210522 08:18:52 INFO root] ServerTick 17644 = 200 [0] [200] [0] [0] (2)
[20210522 08:18:53 INFO root] ServerTick 18157 = 196 [0] [196] [0] [0] (2)
[20210522 08:18:54 INFO root] ServerTick 18643 = 179 [0] [179] [0] [0] (2)
[20210522 08:18:55 INFO root] ServerTick 19123 = 195 [0] [195] [0] [0] (2)
[20210522 08:18:56 INFO root] ServerTick 19612 = 202 [0] [202] [0] [0] (2)
[20210522 08:18:57 INFO root] ServerTick 20140 = 195 [0] [195] [0] [0] (2)
[20210522 08:18:58 INFO root] ServerTick 20626 = 238 [0] [238] [0] [0] (2)
[20210522 08:18:59 INFO root] ServerTick 21121 = 200 [0] [200] [0] [0] (2)
[20210522 08:19:00 INFO root] ServerTick 21679 = 173 [0] [173] [0] [0] (2)
[20210522 08:19:01 INFO root] ServerTick 22315 = 173 [0] [173] [0] [0] (2)
[20210522 08:19:02 INFO root] ServerTick 22906 = 195 [0] [195] [0] [0] (2)
[20210522 08:19:03 INFO root] ServerTick 23491 = 212 [0] [212] [0] [0] (2)
[20210522 08:19:04 INFO root] ServerTick 24031 = 195 [0] [195] [0] [0] (2)
[20210522 08:19:05 INFO root] ServerTick 24616 = 175 [0] [175] [0] [0] (2)
[20210522 08:19:07 INFO root] ServerTick 25132 = 231 [0] [231] [0] [0] (2)
[20210522 08:19:08 INFO root] ServerTick 25672 = 180 [0] [180] [0] [0] (2)
[20210522 08:19:09 INFO root] ServerTick 26266 = 205 [0] [205] [0] [0] (2)
[20210522 08:19:10 INFO root] ServerTick 26845 = 206 [0] [206] [0] [0] (2)
[20210522 08:19:11 INFO root] ServerTick 27424 = 208 [0] [208] [0] [0] (2)
[20210522 08:19:12 INFO root] ServerTick 28018 = 201 [0] [200] [0] [0] (2)
[20210522 08:19:13 INFO root] ServerTick 28606 = 180 [0] [180] [0] [0] (2)
[20210522 08:19:14 INFO root] ServerTick 29155 = 204 [0] [204] [0] [0] (2)
[20210522 08:19:15 INFO root] ServerTick 29695 = 196 [0] [196] [0] [0] (2)
[20210522 08:19:15 INFO root] STAT:user=1 ectype=0,0,0,0 stall=0 dun=0 obj=15041 timerobj=25
[20210522 08:19:15 INFO root] STAT2:grid[total=222300,valid=9288,notify=4,active=9256], creature[notify=9, active=15030]
[20210522 08:19:16 INFO root] ServerTick 30265 = 204 [0] [204] [0] [0] (2)
[20210522 08:19:17 INFO root] ServerTick 30769 = 203 [0] [203] [0] [0] (2)
[20210522 08:19:18 INFO root] ServerTick 31348 = 213 [0] [213] [0] [0] (2)
[20210522 08:19:19 INFO root] ServerTick 31849 = 200 [0] [200] [0] [0] (2)
[20210522 08:19:20 INFO root] ServerTick 32395 = 188 [0] [188] [0] [0] (2)
[20210522 08:19:21 INFO root] ServerTick 32620 = 192 [0] [192] [0] [0] (2)
[20210522 08:19:22 INFO root] ServerTick 33097 = 208 [0] [208] [0] [0] (2)
[20210522 08:19:24 INFO root] ServerTick 33643 = 229 [0] [229] [0] [0] (2)
[20210522 08:19:25 INFO root] ServerTick 34216 = 213 [0] [213] [0] [0] (2)
[20210522 08:19:26 INFO root] ServerTick 34732 = 209 [0] [209] [0] [0] (2)
[20210522 08:19:27 INFO root] ServerTick 35239 = 200 [0] [200] [0] [0] (2)
[20210522 08:19:28 INFO root] ServerTick 35755 = 196 [0] [196] [0] [0] (2)
[20210522 08:19:29 INFO root] ServerTick 36226 = 196 [0] [196] [0] [0] (2)
[20210522 08:19:30 INFO root] ServerTick 36781 = 175 [0] [175] [0] [0] (2)
