sent,id,cnt,size,ccnt,csize,1621533600,1621537200
base,20,456,6066,456,6066
base,1013,102,194454,102,194454
base,1016,293,6739,293,6739
base,1017,231,6413,231,6413
base,1022,35,210,35,210
base,1026,747,36071,747,36071
sys,11,5,125,5,125
sys,12,605,119469,605,119469
sys,14,484,8944,484,8944
sys,15,6,159,6,159
sys,17,19,228,19,228
sys,21,5,25,5,25
sys,24,354,8142,354,8142
sys,25,185,4887,185,4887
sys,27,2,22,2,22
sys,28,1,5,1,5
sys,86,54,69247,54,69247
ev,56,44,1892,44,1892
ev,369,60,1440,60,1440
ev,370,93,744,93,744
ev,371,72,576,72,576
ev,373,29,145,29,145
