func,call,tick
CGameCreature::OnModelChanged,2,62740
game_system,0,0
"SkCon.Tick.Forbid",185,1938766
CGameCreature::RemoveEnemy,384,94917
CGameCreature::OnDead,347,61737493
CGSGuildWarSvr::Event_CreatureKill,347,-4874
CGameCreature::OnKill,347,1748581
CGameCreature::Die,347,64294063
CGameCreature::OnRecvDamage,475,1152260
CGameCreature::ReceiveDamage,475,66043034
CGameCreature::ApplyDamage,475,142757
CGameCreature::AddEnemy,1443,218406
CGameCreature::OnBeAttacked,484,1997945
"CGsBattleSvr::Event_CreAttack",484,7657022
CGameCreature::OnDoAttack,484,8658359
"SkCon.Release",367,18010046
CGameCreature::OnTeleport,31,9914
c2s_sys_event,411,194956932
c2s_ghttp,80,116807320
c2s_event,4675,124799209
c2s_shortcut,3,37269
CItemContainer::OnTimer,6067,7461485
CGameCreature::OnTimer,13461,27310811
"User.Tick",29986,1518833
c2s_select_char,0,0
c2s_create_char,0,0
c2s_relogin,0,0
CGameCreature::RemoveUnderling,668,228055
CGameCreature::OnLeaveWorld,2828,12320239
CGameCreature::OnLeaveScene,2861,820573
CGameCreature::ClearUnderling,2828,269965
CGameCreature::OnShowAttribChanged,1295,12636429
CGameCreature::ClearEnemy,929,-15617
"FindPath",786926,7016679235
CGameCreature::OnActionEnd,791842,60517518
"SkCon.Tick.Eff",47787,344159250
"Npc.Tick",53932529,61367795551
"CreOp.Tick",53962515,4168508729
CGameCreature::OnActionBegin,790486,1294388384
"Action.Tick",53962515,9544238741
"ObjAi.Tick",53962515,-3355090038
"SkCon.Tick",53962515,6306879696
Cre.Tick,53962515,61910090656
CGameWorld::CheckGridInfo,3559,4533646451
CGameWorld::TickActiveGrid,3559,151347602622
CNpcDropMgr::OnTimer,3600,7822331
CGameSystemSyncSvr::OnUpdateUserData,3600,159162220
CGameWorld::Tick.TickUser,17795,86280049931
"GS.Business",17795,3222298
"GS.Chat",17795,5045293
CGameCreature::AddUnderling,728,54535
CGameCreature::OnRareShowAttribChanged,2276,4702918
CGameCreature::SetBoss,1456,15165572
CGameCreature::OnPostEnterWorld,2920,7698383
CGameCreature::OnEnterScene,2953,2168759
CGameCreature::OnEnterWorld,2920,19763048
"Npc.Spawn",184414,2555369261
CGameWorld::Tick.Sys,17795,7139941769
CGameWorld::Tick,17795,93431864487
CGameServer::TickFrame1,17795,93455688643
CGameServer::TickFrame3,17793,1144928080
"Server.Run.Sleep",3128371,8024030364656
CGameServer::Tick.Other,3128371,19928362933
CGameServer::Tick.Net,3128371,2734713814
CGameWorld::Tick.DestroyObj,3128371,1426648650
CGameWorld::TickNotifyGrid,17794,730751860
CGameServer::TickFrame2,17794,156640312942
CGameServer::Tick.TickFrame,3128371,253953777533
CGameServer::Tick.Base,3128371,276836362266
CGameServer::Tick,3128371,601775836087
"Server.Run",1,8640038673482
